"NBPERSMENFISC15","ambulance","analyse_medicale","autre","autre_specialiste","chirurgien","dentiste","generaliste","hopital","infirmiers","organe","radiologiste","reeducateur_podologue","generaliste_habitant","infirmiers_habitant","ambulance_habitant","hopital_habitant","regionName","indice"
"611797.0","82.0","39.0","718.0","203.0","39.0","368.0","597.0","138.0","1070.0","1.0","38.0","959.0","97.58138729022862","174.89461373625565","13.40313862277847","22.556501584675964","Auvergne-Rhône-Alpes","78.95788219933347"
"518914.0","65.0","36.0","238.0","263.0","25.0","261.0","567.0","119.0","986.0","5.0","59.0","562.0","109.26666075688843","190.01221782414814","12.526160404228833","22.932509047742016","Nord-Pas-de-Calais-Picardie","84.50527091424482"
"332244.5","59.0","25.0","307.0","157.0","35.0","192.0","392.0","59.0","774.0","2.0","30.0","525.0","117.98539930683577","232.96096699870125","17.758006528324774","17.758006528324774","Auvergne-Rhône-Alpes","86.4180852192585"
"156728.5","23.0","18.0","279.0","118.0","15.0","134.0","342.0","48.0","631.0","0.0","6.0","419.0","218.21174834187784","402.60705615124243","14.675059099015176","30.626210293596888","Provence-Alpes-Côte d'Azur","152.62776976751573"
"135089.5","33.0","14.0","235.0","138.0","21.0","134.0","379.0","66.0","483.0","2.0","25.0","596.0","280.55474333682486","357.5407415084074","24.428249419829076","48.85649883965815","Provence-Alpes-Côte d'Azur","184.01721079667647"
"1113414.5","194.0","219.0","1807.0","1626.0","172.0","1431.0","2263.0","248.0","3587.0","2.0","175.0","3341.0","203.2486553749749","322.16214177199953","17.423879426754368","22.273825246572592","Provence-Alpes-Côte d'Azur","125.9622509146703"
"315122.0","57.0","26.0","421.0","130.0","34.0","200.0","396.0","136.0","798.0","1.0","20.0","592.0","125.66561522204098","253.2352549171432","18.08823249408166","43.15788805605448","Auvergne-Rhône-Alpes","124.27061395796326"
"263913.0","54.0","25.0","131.0","105.0","10.0","157.0","308.0","94.0","486.0","4.0","12.0","443.0","116.70512631056447","184.15159541212444","20.461288379124937","35.61779828958786","Alsace-Champagne-Ardenne-Lorraine","101.80829962612424"
"140559.0","30.0","12.0","212.0","61.0","9.0","108.0","231.0","49.0","508.0","0.0","6.0","374.0","164.34379868951828","361.4140681137458","21.343350479158218","34.86080578262509","Languedoc-Roussillon-Midi-Pyrénées","139.15883986981694"
"290863.5","50.0","19.0","259.0","123.0","34.0","173.0","316.0","69.0","420.0","1.0","28.0","463.0","108.6420262425502","144.39762981604773","17.19019402571997","23.722467755493557","Alsace-Champagne-Ardenne-Lorraine","78.39881043100695"
"347574.0","43.0","42.0","459.0","244.0","33.0","286.0","514.0","100.0","1187.0","3.0","81.0","861.0","147.88217760822155","341.5100093792976","12.371466220143049","28.770851674751277","Languedoc-Roussillon-Midi-Pyrénées","124.34548515958677"
"266553.0","77.0","25.0","254.0","125.0","12.0","188.0","338.0","74.0","855.0","1.0","20.0","567.0","126.804050226409","320.76172468514704","28.887313217258857","27.7618334815215","Languedoc-Roussillon-Midi-Pyrénées","114.90847495379461"
"2784391.0","324.0","466.0","2881.0","3451.0","199.0","2096.0","4080.0","364.0","7884.0","17.0","221.0","6098.0","146.53114451239068","283.1498880724726","11.636296770101612","13.072876618262306","Provence-Alpes-Côte d'Azur","94.73171639869037"
"664764.0","65.0","46.0","747.0","512.0","94.0","353.0","1073.0","212.0","1064.0","3.0","126.0","1107.0","161.41066604088067","160.05680211323116","9.777906144135363","31.89101696241072","Normandie","103.78695891818516"
"137728.5","38.0","7.0","104.0","76.0","12.0","89.0","208.0","32.0","394.0","1.0","12.0","229.0","151.02175657180612","286.0700581215943","27.590513219849196","23.234116395662483","Auvergne-Rhône-Alpes","109.41301736911014"
"339198.0","64.0","25.0","311.0","195.0","27.0","199.0","432.0","92.0","517.0","2.0","22.0","438.0","127.3592415049617","152.41835152329907","18.868035778512844","27.122801431612213","Aquitaine-Limousin-Poitou-Charentes","88.43400948285621"
"632983.0","67.0","60.0","868.0","459.0","102.0","461.0","1065.0","143.0","1300.0","3.0","111.0","1428.0","168.25096408592333","205.37676367295805","10.584802435452453","22.591444004025384","Aquitaine-Limousin-Poitou-Charentes","100.27129842805849"
"299157.5","54.0","22.0","212.0","142.0","21.0","179.0","347.0","57.0","457.0","1.0","33.0","370.0","115.99241202376675","152.76234090738157","18.050692361047275","19.05350860332768","Centre-Val de Loire","75.35052065485334"
"228365.5","50.0","21.0","229.0","142.0","16.0","156.0","307.0","66.0","733.0","1.0","20.0","381.0","134.43361628617282","320.97667992757226","21.894725779506974","28.901038028949205","Aquitaine-Limousin-Poitou-Charentes","118.21119561667818"
"489505.0","41.0","63.0","602.0","381.0","73.0","294.0","856.0","98.0","755.0","3.0","92.0","1001.0","174.87053247668564","154.23744394847856","8.37580821442069","20.020224512517746","Bourgogne-Franche-Comté","90.66112433457901"
